[Script Info]
; Script generated by Aegisub 3.2.1
; http://www.aegisub.org/
Title: YYeTs
Original Script: YYeTs
Synch Point: 1
ScriptType: v4.00+

[Aegisub Project Garbage]
Video Zoom Percent: 1.000000
Scroll Position: 325
Active Line: 330
Video Position: 2938

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:08.40,0:00:09.47,*Default,NTP,0,0,0,,我剛被炒了
Dialogue: 0,0:00:14.23,0:00:15.45,*Default,NTP,0,0,0,,那我呢
Dialogue: 0,0:00:18.36,0:00:19.36,*Default,NTP,0,0,0,,關你什么事
Dialogue: 0,0:00:20.33,0:00:21.47,*Default,NTP,0,0,0,,我可怎么辦啊
Dialogue: 0,0:00:22.58,0:00:23.68,*Default,NTP,0,0,0,,好吧  就這樣吧
Dialogue: 0,0:00:24.74,0:00:26.22,*Default,NTP,0,0,0,,我他媽的現在就出門
Dialogue: 0,0:00:26.22,0:00:27.30,*Default,NTP,0,0,0,,他們走之前到
Dialogue: 0,0:00:27.68,0:00:29.24,*Default,NTP,0,0,0,,埃利希  我得開你的車
Dialogue: 0,0:00:29.59,0:00:31.86,*Default,NTP,0,0,0,,賈里德  給羅恩·拉弗蘭梅打電話讓他在那見我
Dialogue: 0,0:00:32.21,0:00:33.74,*Default,NTP,0,0,0,,這幫狗娘養的混蛋
Dialogue: 0,0:00:33.74,0:00:36.08,*Default,NTP,0,0,0,,等下  理查德  我跟你一起去
Dialogue: 0,0:00:36.29,0:00:38.10,*Default,NTP,0,0,0,,來  賈里德  收拾收拾
Dialogue: 0,0:00:38.10,0:00:39.45,*Default,NTP,0,0,0,,把煙都搞出去
Dialogue: 0,0:00:39.45,0:00:41.27,*Default,NTP,0,0,0,,不然該把儀器弄壞了
Dialogue: 0,0:00:41.27,0:00:42.45,*Default,NTP,0,0,0,,別跟個娘們似的
Dialogue: 0,0:00:46.50,0:00:47.63,*Default,NTP,0,0,0,,他們怎么能這樣呢
Dialogue: 0,0:00:47.63,0:00:49.43,*Default,NTP,0,0,0,,怎么能把我從我自己的公司炒了呢
Dialogue: 0,0:00:49.44,0:00:51.25,*Default,NTP,0,0,0,,冷靜點  我們會反抗的
Dialogue: 0,0:00:51.25,0:00:52.87,*Default,NTP,0,0,0,,神啊  理查德  慢點
Dialogue: 0,0:00:53.11,0:00:54.80,*Default,NTP,0,0,0,,停停停
Dialogue: 0,0:00:59.22,0:01:00.37,*Default,NTP,0,0,0,,我撞到鹿了嗎
